track_id,category,sat,rise,n,days,azmean,azsd,r,slope,intercept,rms_m,fail,near_reason,raw_mean_bias_m,raw_mean_abs_deviation_m,raw_median_abs_deviation_m,raw_rms_m,plus_mean_bias_m,plus_mean_abs_deviation_m,plus_median_abs_deviation_m,plus_rms_m
17,BAD,20,-1,22,22,69.89499998465834,0.06051725094828127,-0.9376221221819461,-0.9273472404057299,18.985996578424164,18.716837054292746,"R,SLOPE,RMS",,18.668961649672728,18.668961649672728,18.65265772483,18.716837054292746,18.91096164967273,18.91096164967273,18.894657724829997,18.95822593903205
18,BAD,5,-1,19,19,117.29947368648938,0.10318884130703608,-0.9418636711903249,-0.8846672770431716,18.940997910204665,18.582384294540017,"R,SLOPE,RMS",,18.535559604228627,18.535559604228627,18.4152512388,18.582384294540017,18.77755960422863,18.77755960422863,18.6572512388,18.823782322328693
19,BAD,30,1,21,21,102.96952380946028,0.011070056958178266,-0.9463438129938956,-0.9421179000084735,18.92003269052819,19.31358291811228,"R,SLOPE,RMS",,19.272274918840573,19.272274918840573,19.287719435228,19.31358291811228,19.514274918840577,19.514274918840577,19.529719435228,19.55507172565515
20,BAD,28,-1,18,18,114.25499998234064,0.05113419795903917,-0.9561260259200265,-0.9674011292775464,18.88890053030439,18.991597159077614,"R,SLOPE,RMS",,18.938024541553332,18.938024541553332,18.9967378109,18.991597159077614,19.180024541553333,19.180024541553333,19.2387378109,19.23292308856864
21,BAD,12,-1,23,23,37.53782608701554,0.007637695487432213,-0.9582752466486512,-0.8733022836124172,18.80826722329266,18.938988182806852,"R,SLOPE,RMS",,18.88696866247774,18.88696866247774,19.048929052782,18.938988182806852,19.128968662477735,19.128968662477735,19.290929052782,19.180331858993913
22,BAD,8,-1,20,20,83.41950004750657,0.08737064840691405,-0.9595907405641468,-1.0171238878961486,18.951367363077292,18.985809352826433,"R,SLOPE,RMS",,18.9153384953264,18.9153384953264,19.04987094686,18.985809352826433,19.157338495326403,19.157338495326403,19.29187094686,19.226922390585802
23,BAD,4,-1,18,18,30.519444444432708,0.007827932486465197,-0.9628862519018956,-0.9155616513410245,18.908930532598834,19.504104089077583,"R,SLOPE,RMS",,19.457239017347778,19.457239017347778,19.55006721537,19.504104089077583,19.69923901734778,19.69923901734778,19.792067215370004,19.745529721989463
24,BAD,27,-1,18,18,63.42388888893134,0.0069545677846951,-0.9643666987755175,-0.9208463378604375,18.953657015935473,19.08069811473745,"R,SLOPE,RMS",,19.012663389990443,19.012663389990443,19.465441906684,19.08069811473745,19.25466338999045,19.25466338999045,19.707441906684,19.321846020152957
25,BAD,13,-1,13,13,38.84384615207877,0.03271498254278809,-0.9683609505833134,-0.8716787280906956,18.814268087646017,18.795361926798073,"N,DAYS,R,SLOPE,RMS","N,DAYS",18.74349514248154,18.74349514248154,18.64256634482,18.795361926798073,18.98549514248154,18.98549514248154,18.88456634482,19.036702592841323
26,BAD,29,-1,16,16,33.32625000019574,0.009935993181910921,-0.9721306114154599,-0.9976238934042871,18.85666098465628,19.122622770750194,"R,SLOPE,RMS",,19.059830678878125,19.059830678878125,19.322011189119998,19.122622770750194,19.301830678878126,19.301830678878126,19.564011189120002,19.363838041075198
27,BAD,9,1,20,20,124.44800000546361,0.028555395785330357,-0.9741588988306595,-1.021518096725442,18.911645008301118,19.242825768167922,"R,SLOPE,RMS",,19.205328866986903,19.205328866986903,19.090540644974,19.242825768167922,19.4473288669869,19.4473288669869,19.332540644974003,19.48436005404563
28,BAD,29,1,25,25,113.00240000098313,0.02094421819120817,-0.9744947739022147,-0.9519200265879897,18.940718443008112,18.943097715460755,"R,SLOPE,RMS",,18.888064579491044,18.888064579491044,18.696125937159998,18.943097715460755,19.130064579491044,19.130064579491044,18.93812593716,19.184403517283723
29,BAD,25,-1,18,18,47.61333333330701,0.007856742019021765,-0.9761030335007221,-0.8978842894383364,18.85540764728394,18.919539555873634,"R,SLOPE,RMS",,18.853841414876445,18.853841414876445,19.126204310968,18.919539555873634,19.095841414876443,19.095841414876443,19.368204310968,19.160709805512617
30,BAD,9,-1,20,20,35.014500000047484,0.006452049867204013,-0.9775494910320798,-1.030975962244992,18.883430085357713,19.40031873481947,"R,SLOPE,RMS",,19.3531065213675,19.3531065213675,19.2018038741,19.40031873481947,19.5951065213675,19.5951065213675,19.4438038741,19.641737055793445
31,BAD,12,1,5,5,133.2339999962203,0.02334952033306878,-0.977733821651522,-0.6363296129440129,18.66522492658364,17.294145382031726,"N,DAYS,R,SLOPE,RMS",,17.290430195375997,17.290430195375997,17.4802736752,17.294145382031726,17.532430195376,17.532430195376,17.7222736752,17.536094112128026
32,BAD,11,-1,1,1,133.44,0.0,nan,nan,nan,16.5765268884,"N,DAYS,R,SLOPE,RMS",,16.5765268884,16.5765268884,16.5765268884,16.5765268884,16.8185268884,16.8185268884,16.8185268884,16.8185268884
33,BAD,17,-1,1,1,137.18,0.0,nan,nan,nan,16.948708143519998,"N,DAYS,R,SLOPE,RMS",,16.948708143519998,16.948708143519998,16.948708143519998,16.948708143519998,17.19070814352,17.19070814352,17.19070814352,17.19070814352
34,BAD,32,-1,1,1,147.73,0.0,nan,nan,nan,19.073115110000003,"N,DAYS,R,SLOPE,RMS",,19.073115110000003,19.073115110000003,19.073115110000003,19.073115110000003,19.315115110000004,19.315115110000004,19.315115110000004,19.315115110000004
