track_id,sat,rise,n,days,azmean_deg,azsd_deg,tide_r,slope,intercept_m,raw_rms_cm,plus242_rms_cm,category,fail
19,2,-1,20,20,52.87800000317899,0.03211820274187773,0.9321363031388061,0.9866500747680897,-0.23291273864135373,35.30234217522204,26.590708292729715,NEAR-GOOD,RMS
20,16,-1,18,18,96.47166666936403,0.04242640687118916,0.9309765545138374,0.8633041882653306,-0.30006251015540086,40.09098002128286,27.7265485528088,NEAR-GOOD,RMS
21,24,-1,25,25,57.25279999781833,0.03335936065727593,0.9267180053839431,0.8372110911407156,-0.2010030284710959,33.392640941376165,25.136054658251368,NEAR-GOOD,"SLOPE,RMS"
22,3,-1,19,19,37.168947372294575,0.030576211694758604,0.9230573241332113,0.8107080256816697,-0.19165017670493195,27.707331698027048,24.963908785016226,NEAR-GOOD,SLOPE
23,30,-1,19,19,33.752105263186756,0.006911947902706128,0.921707896595489,0.9210182858990723,-0.32371098313587815,41.62773629561583,27.320032176841053,NEAR-GOOD,RMS
24,21,-1,21,21,92.86476184830332,0.08582845016066756,0.9088822599898533,0.9246495752279799,-0.3595090261349349,44.78338214814746,29.078798431539006,NEAR-GOOD,RMS
25,26,-1,17,17,90.74117631450568,0.0953672060546578,0.8956557987229522,0.9087623833498519,-0.2879768873576448,40.6242224553364,29.622628655306805,NEAR-GOOD,"R,RMS"
26,15,-1,24,24,93.23833335276801,0.09855222387086231,0.8933595398506611,0.897967500990887,-0.24756246117317832,40.527787655556594,30.761075312366575,NEAR-GOOD,"R,RMS"
27,1,-1,20,20,56.24849998955386,0.04013792012024232,0.8902771072472165,0.9348895896745743,-0.2195398999726839,35.999519044090896,29.182725756456236,NEAR-GOOD,"R,RMS"
28,25,1,3,3,157.85000000030462,0.010000000304614788,0.32332757672819434,0.0512326597637437,-0.07220044341679374,35.25620671580618,47.93516365785693,BAD,"N,DAYS,R,SLOPE,RMS"
29,19,-1,14,14,148.9578572807964,0.0907231379635472,0.19450985947479996,0.015389644310068059,0.9163441723254695,138.85849562125736,160.5625798673019,BAD,"R,SLOPE,RMS"
30,13,1,3,3,137.09333333583422,0.02364866518118286,-0.2169126737534785,-0.11596988446883141,1.1596188806830567,38.28890586643634,61.017322210579174,BAD,"N,DAYS,R,SLOPE,RMS"
31,3,1,2,2,137.775,2.0097183471152322e-14,-1.0,-1.3866277654923524,2.4243443625346424,17.907976070791417,14.715439296875255,BAD,"N,DAYS,R,SLOPE"
32,11,-1,1,1,133.44,0.0,nan,nan,nan,15.847311160000022,8.352688839999978,BAD,"N,DAYS,R,SLOPE"
33,17,-1,1,1,137.18,0.0,nan,nan,nan,70.37081435199994,94.57081435199994,BAD,"N,DAYS,R,SLOPE,RMS"
34,32,-1,1,1,147.73,0.0,nan,nan,nan,171.81151099999977,196.01151099999976,BAD,"N,DAYS,R,SLOPE,RMS"
